run_name,error,seed
original_dynamic_tree,1.2242321968078613,42
original_dynamic_tree,1.2226282358169556,142
original_dynamic_tree,1.205327033996582,242
original_dynamic_tree,1.2208939790725708,342
original_dynamic_tree,1.2256581783294678,442
original_fixed_tree,0.046250175684690475,42
original_fixed_tree,0.03695964813232422,142
original_fixed_tree,0.04052929952740669,242
original_fixed_tree,0.04426254332065582,342
original_fixed_tree,0.04734829440712929,442
fixed_eq9,0.04568667337298393,42
fixed_eq9,0.03860732540488243,142
fixed_eq9,0.04440411925315857,242
fixed_eq9,0.04546596109867096,342
fixed_eq9,0.041593752801418304,442
fixed_eq9_eq12,0.003899972653016448,42
fixed_eq9_eq12,0.004023628309369087,142
fixed_eq9_eq12,0.0034939227625727654,242
fixed_eq9_eq12,0.0044098347425460815,342
fixed_eq9_eq12,0.003917043097317219,442
fixed_eq9_eq12_eq13,1.874177826266532e-07,42
fixed_eq9_eq12_eq13,1.8500040255275962e-07,142
fixed_eq9_eq12_eq13,2.0270447009806958e-07,242
fixed_eq9_eq12_eq13,1.8541530266702466e-07,342
fixed_eq9_eq12_eq13,2.160719532184885e-07,442
